1180年に即位して平清盛が外祖父となった天皇は？,安徳天皇,高倉天皇,後鳥羽天皇,崇徳天皇,1,安徳天皇
平清盛が遷都した都は、現在のどこにあった？,摂津市,神戸市,津市,大津市,2,神戸市
守護・地頭の設置を献策したのは？,九条兼実,三善康信,大江広元,北条時政,3,大江広元
侍所の長官は？,別当,執事,番頭,東夷,1,別当
御家人が自己の所領を守ることを何という？,本領安堵,新恩給与,封建制度,一所懸命,4,一所懸命
幕府の所領外でありながら守護・地頭の設置権のある荘園・国衙領を何という？,関東御分国,関東知行国,関東進止の地,関東御領,3,関東進止の地
源実朝が暗殺されたのはいつ？,1219,1222,1223,1210,1,1219
承久の乱後に、鎌倉幕府が京都方の所領から没収したのは？,およそ3000箇所,およそ2000箇所,およそ1500箇所,およそ1000箇所,1,およそ3000箇所
武家社会における最初の成文法である、御成敗式目は何カ条からなる？,35,46,51,75,3,51
1276年北条氏一門は、元の襲来に備えて何の任務に就いた？,六波羅探題,関東探題,長門探題,鎮西探題,3,長門探題
鎌倉時代に京都の本願寺を宗派の中心とした宗派？,時宗,日蓮宗,浄土真宗,法華宗,3,浄土真宗
時宗の総本山は清浄光寺は何県にある?,千葉県,埼玉県,群馬県,神奈川県,4,神奈川県
鎌倉幕府倒幕の挙兵を河内国で挙げたのは?,楠木正成,足利尊氏,名和長年,新田義貞,1,楠木正成
足利直義が、奉じた後醍醐天皇の息子は？,義良親王,成良親王,護良親王,彰良親王,2,成良親王
1336年足利尊氏が擁立した天皇は？,光明天皇,後醍醐天皇,後村上天皇,後小松天皇,1,光明天皇
南北朝が合一された1392年、当時の将軍は？,足利直義,足利憲実,足利義満,足利尊氏,3,足利義満
管領として足利義満を補佐したのは？,高師直,細川頼之,北畠親房,今川貞世,2,細川頼之
豊臣秀吉が明智光秀を討った戦いは？,賤ヶ岳の戦い,山崎の戦い,小牧長久手の戦い,山城の戦い,2,山崎の戦い
山城国で太閤検地が初めて実施されたのは何年？,1581,1582,1591,1595,2,1582
検地に反対した、大崎・葛西一揆が起こったのはどこ？,出羽国,肥前国,陸奥国,備前国,3,陸奥国
1588年に豊臣秀吉に命じられて天正大判を鋳造したのは？,前田玄以,後藤徳乗,浅野長政,毛利輝元,2,後藤徳乗
安土桃山時代の『花下遊楽図屏風』の作者は？,狩野永徳,狩野山楽,狩野東伯,狩野長信,4,狩野長信
安土桃山時代の『唐獅子図屏風』の作者は？,狩野永徳,狩野山楽,狩野東伯,狩野長信,1,狩野永徳
