15世紀に江戸城を築いたのは？,徳川家康,太田道灌,福島正則,毛利輝元,2,太田道灌
関ヶ原の戦い後に京都で斬首されたキリシタン大名は？,小西行長,福島正則,小早川秀秋,上杉景勝,1,小西行長
徳川家康が将軍宣下を受けた当時の天皇は？,後醍醐天皇,崇峻天皇,後村上天皇,後陽成天皇,4,後陽成天皇
江戸幕府の職制のうち、最高職にあったのは？,老中,年寄り,大老,大目付,3,大老
江戸時代、相互の役職に関わる重要事項や訴訟などについて合議したのは？,勘定奉行,評定所,雑訴決断所,京都所司代,2,評定所
1635年の武家諸法度では何石以上の船の建造を禁止した？,300,350,400,500,4,500
江戸時代の藩の直轄地を何と呼んだ？,御領,蔵入地,藩地,御家領,2,蔵入地
大名家の最上級家臣を何と呼んだ？,大老,老中,家老,大番頭,3,家老
紫衣事件により後水尾天皇から譲位された天皇は？,後陽成天皇,光明天皇,明正天皇,村上天皇,3,明正天皇
江戸時代、白糸の取引を独占していた国は？,オランダ,イギリス,ポルトガル,フランス,3,ポルトガル
幕府が日本人の海外渡航と在外日本人の帰国を禁止したのは何年？,1625,1635,1645,1650,2,1635
幕府が、1635年に中国船の寄港を唯一許可した場所は？,長崎,横浜,博多,下関,1,長崎
1639年に来航を禁止した国は？,オランダ,イギリス,ポルトガル,フランス,3,ポルトガル
江戸時代、京都の聚楽第で焼かれたものは？,萩焼,楽焼,平戸焼,高取焼,2,楽焼
江戸時代に赤絵の技法を完成させたのは？,酒井田柿右衛門,狩野探幽,俵屋宗達,太田道灌,1,酒井田柿右衛門
江戸時代初期、幕府の御用絵師となり、『大徳寺方丈襖絵』を残したのは？,狩野永徳,狩野山楽,狩野探幽,狩野長信,3,狩野探幽
鷹ヶ峰に芸術村を創始したのは？,久隅守景,俵屋宗達,本阿弥光悦,酒井忠清,3,本阿弥光悦
オランダ商館長のことを何と呼んだ？,ピューリタン,カピタン,サビアン,アラビアン,2,カピタン
1624年に渡航を禁止された国は？,スペイン,ポルトガル,イギリス,ロシア,1,スペイン
1669年のシャクシャインの蜂起に応じて幕府から出兵を命じられた藩？,会津藩,津軽藩,長州藩,松川藩,2,津軽藩
