ナウマン象の骨が発掘された長野県の湖はどれ？,河口湖,山中湖,野尻湖,琵琶湖,3,野尻湖
沖縄県で発見された化石人骨は？,港川人骨,浜北人骨,柳口人骨,山下人骨,1,港川人骨
打製石器が発見された岩宿遺跡は何県にある？,群馬県,長野県,山梨県,福井県,1,群馬県
縄文時代に使用されるようになった石器は？,細石器,打製石器,中石器,磨製石器,4,磨製石器
長崎県の泉福寺洞穴から発見された世界最古の土器とされるのはどれ？,無文土器,爪形文土器,豆粒文土器,尖底土器,3,豆粒土器
青森県の縄文時代晩期の土器は？,亀ケ岡式土器,夜臼式土器,貝塚式土器,隆起線文土器,1,亀ケ岡式土器
新潟県の姫川流域に産し、主に勾玉の材料となったのは？,サヌカイト,黒曜石,石鏃,ひすい,4,ひすい
サヌカイトの産地であり、大阪府と奈良県の境に位置するのは？,和田峠,十勝岳,二上山,阿蘇山,3,二上山
縄文時代に使用された漁労の道具は？,石錘,黒曜石,石棒,石鏃,1,石錘
弥生時代には、農耕文化の他に伝来した技術は？,狩猟,漁労,採集,機織り,4,機織り
弥生時代の道北から道東の沿岸一帯にサハリンに起源をもつ狩猟漁労民の文化は？,オホーツク文化,続縄文文化,擦文文化,南東文化,1,オホーツク文化
縄文時代晩期の水稲耕作の跡と見られている福岡県にある遺跡は？,菜畑遺跡,砂沢遺跡,板付遺跡,垂柳遺跡,3,板付遺跡
神奈川県にある環濠集落遺跡は？,大塚遺跡,百聞川遺跡,登呂遺跡,唐古・鍵遺跡,1,大塚遺跡
香川県にある高地性集落は？,大塚遺跡,吉野ヶ里遺跡,砂沢遺跡,紫雲出山遺跡,4,紫雲出山遺跡
弥生時代後期に、盛り土をして墓域を区画した古墳は？,土壙墓,木棺墓,墳丘墓,再葬墓,3,墳丘墓
弥生時代の青銅器のうち、瀬戸内中部に分布するものは？,細形銅剣,平形銅剣,銅矛,銅鐸,2,平形銅剣
後漢書東夷伝の編者は？,范曄,帥升,陳寿,楽浪,1,范曄
魏の都は？,洛陽,北京,北陽,楽浪,1,洛陽
卑弥呼の後継者となった宗女壹与が晋の都である洛陽に使者を派遣したのは何年？,220年,223年,250年,266年,4,266年
卑弥呼が239年に帯方郡に使わした大夫は？,大人,壹与,難升米,公孫氏,3,難升米
5世紀の日本のことが記載されている中国の歴史書『宋書』倭国伝の著者は？,沈約,范曄,帥升,陳寿,1,沈約
獲加多支鹵大王は？,安康天皇,雄略天皇,仁徳天皇,允恭天皇,2,雄略天皇
奈良県にある出現期の前方後円墳の中で最大の規模を持つのは？,箸墓古墳,大塚山古墳,石塚山古墳,稲荷山古墳,1,箸墓古墳
群馬県にある東日本最大の前方後円墳は？,造山古墳,大仙陵古墳,天神山古墳,ミサンザイ古墳,3,天神山古墳
